2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,AR-C
6,Buenos Aires,Provincia de Buenos Aires,AR-B
10,Catamarca,Provincia de Catamarca,AR-K
14,Córdoba,Provincia de Córdoba,AR-X
18,Corrientes,Provincia de Corrientes,AR-W
22,Chaco,Provincia del Chaco,AR-H
26,Chubut,Provincia del Chubut,AR-U
30,Entre Ríos,Provincia de Entre Ríos,AR-E
34,Formosa,Provincia de Formosa,AR-P
38,Jujuy,Provincia de Jujuy,AR-Y
42,La Pampa,Provincia de La Pampa,AR-L
46,La Rioja,Provincia de La Rioja,AR-F
50,Mendoza,Provincia de Mendoza,AR-M
54,Misiones,Provincia de Misiones,AR-N
58,Neuquén,Provincia del Neuquén,AR-Q
62,Río Negro,Provincia de Río Negro,AR-R
66,Salta,Provincia de Salta,AR-A
70,San Juan,Provincia de San Juan,AR-J
74,San Luis,Provincia de San Luis,AR-D
78,Santa Cruz,Provincia de Santa Cruz,AR-Z
82,Santa Fe,Provincia de Santa Fe,AR-S
86,Santiago del Estero,Provincia de Santiago del Estero,AR-G
90,Tucumán,Provincia de Tucumán,AR-T
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",AR-V
